motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
446,18603,480535,20020284,AHR,0.9988426572746997,1.0,1.0,-0.0,-0.0016706595598310228
127,6738,480854,20032149,AIRE,0.7852121717282602,0.005873939336301374,0.0072971404970792395,2.136847291883713,-0.34884555841045856
1266,166662,479715,19872225,AP1/1,0.3146736037066559,1e-300,0.0,400.0,-1.668071931181755
1399,103996,479582,19934891,AP1/2,0.5591805668738307,8.351439681985501e-125,5.887764975799778e-124,123.230049534226,-0.8386138710873083
30,3463,480951,20035424,ARI5A,0.3608830368678432,5.942622002134202e-11,1.0034846734142784e-10,9.99848925626313,-1.4703967632393422
58,4464,480923,20034423,ARI5B,0.5412589605082646,3.737371238556075e-07,5.576395181337636e-07,6.253646456754939,-0.8856090911240618
493,30967,480488,20007920,BATF,0.6629292500966877,4.488786679983104e-22,9.737214182732578e-22,21.011565277014768,-0.5930731853053111
25,1784,480956,20037103,BCL6/1,0.5838143186475725,0.005002568150544076,0.006297875975238524,2.2008058962240686,-0.7764185000312165
325,29341,480656,20009546,BCL6/2,0.4611171942577901,2.4465048330135696e-56,9.582143929303149e-56,55.018537310076425,-1.1167946325468645
1107,98187,479874,19940700,CCAAT/CEBP,0.4684969950965515,6.834684388647145e-179,7.138448139253684e-178,177.14639619127868,-1.0938883003075024
169,6118,480812,20032769,CENBP,1.1509141166219963,0.07297356577955769,0.08399406346871538,1.0757514079129695,0.20278018086685679
163,12237,480818,20026650,CPEB1,0.5548048316545084,2.511859544628803e-16,4.860017439953371e-16,15.313362172288752,-0.8499477431060811
996,73287,479985,19965600,CREB/ATF/1,0.5653105555532891,7.485442655726818e-86,4.139009468460711e-85,84.38310358009947,-0.8228844594503576
629,48598,480352,19990289,CREB/ATF/2,0.538631463058824,1.997059204637642e-65,9.386178261796918e-65,64.02751120194756,-0.8926295904967527
489,39554,480492,19999333,CREB/ATF/3,0.5145739545708633,7.016867778857442e-60,3.1408836724409503e-59,58.502948148081764,-0.9585496587297417
660,37541,480321,20001346,CREB3/XBP1,0.7320921440198523,8.782193886248667e-17,1.7318731999455412e-16,15.761483908265465,-0.44990285163182997
5330,237823,475651,19801064,CTCF,0.9329824386573806,5.080910062409379e-07,7.541140197891816e-07,6.122562985136087,-0.10007816911617065
145,11556,480836,20027331,CUX/1,0.522620653957597,6.477028520860868e-18,1.2954057041721737e-17,16.887594194911394,-0.9361639538241537
188,6002,480793,20032885,CUX/2,1.3051103088018476,0.0005585686181528595,0.0007326341875307273,3.135112819346713,0.3841717495045925
23,1321,480958,20037566,CUX/3,0.7253754137602967,0.14794423058186795,0.1655566389844713,0.7810533989257487,-0.4632002481829936
52,4978,480929,20033909,CUX/4,0.43514418304981367,1.0280025915321242e-11,1.8006008124972612e-11,10.744582558221829,-1.200434584258881
123,9860,480858,20029027,DDIT3+CEBPA,0.519602465030877,1.1610921280629068e-15,2.2274012252635352e-15,14.652201545775545,-0.9445198198379303
194,11739,480787,20027148,DMRT1,0.6883939079246183,5.7349589935619854e-08,8.694937828948818e-08,7.060733518967881,-0.5386937648622845
16,2647,480965,20036240,DMRT3,0.25180757623300853,3.782338948767173e-12,6.75075685792622e-12,11.170647533717972,-1.9896064042475978
871,46825,480110,19992062,E2F/1,0.7745638199592607,8.307180974621787e-15,1.561750023228896e-14,13.806388478922404,-0.3685439805394291
5358,345182,475623,19693705,E2F/2,0.6427160551439683,8.75000679711266e-258,1.370834398214317e-256,255.8630150063962,-0.637746583323041
450,21160,480531,20017727,E2F/3,0.8859112207545733,0.010327874946235518,0.012608055129170632,1.89935190088226,-0.1747659647239587
385,27284,480596,20011603,E2F/4,0.5875629671903172,1.5120379450463102e-29,4.0225915141798066e-29,28.39549406689302,-0.7671846260431003
1393,115430,479588,19923457,EBF1,0.5013359054706715,9.325173358129838e-182,1.0518795547970456e-180,179.97803398611546,-0.9961505318433791
6651,175241,474330,19863646,EGR,1.58938678776085,1.273365398825124e-259,2.2443065154292815e-258,257.64891782973814,0.6684702567697633
1830,130464,479151,19908423,ETS/1,0.5828071361692848,2.4654234929340276e-138,1.8296037500194626e-137,136.73764295825532,-0.7789095523287812
5426,279139,475555,19759748,ETS/2,0.8076811002816248,9.595389371957625e-58,4.0386564222269405e-57,56.39376309168709,-0.3081423141093707
89,5759,480892,20033128,EVI1/MECOM,0.6437898743233361,1.2142786411972799e-05,1.703614810037975e-05,4.768628593128805,-0.6353382089359979
1031,20158,479950,20018729,EWSR1/FLI1,2.1332989953386376,2.4528756779432935e-100,1.5371354248444638e-99,98.81328786856287,1.0930861826789708
1920,222778,479061,19816109,Ebox/CACCTG,0.35649750417760384,1e-300,0.0,400.0,-1.4880361184235231
2026,129913,478955,19908974,Ebox/CACGTG/1,0.6482477190053071,1.61379208241216e-95,9.68275249447296e-95,94.0140011692165,-0.6253828702230175
