motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,log2FC,qvalues,-log10-qvalues
409,18603,444667,20020284,AHR,0.9898642862714218,0.8617176424908712,-0.014697354487602817,0.8836522733906389,0.053718600888414146
116,6738,444960,20032149,AIRE,0.775056839231229,0.005461344795538366,-0.36762597976483696,0.007064675377714767,2.150907789216157
1247,166662,443829,19872225,AP1/1,0.3350122473254792,1e-300,-1.5777142565326063,2.563636363636364e-299,298.5911435768389
1365,103996,443711,19934891,AP1/2,0.5896980423031803,4.054079576166105e-99,-0.7619516902208041,2.78841570848498e-98,97.55464247933922
30,3463,445046,20035424,ARI5A,0.38999801697942693,2.4631590294153703e-09,-1.3584613065566304,4.235431989604479e-09,8.373102287544954
56,4464,445020,20034423,ARI5B,0.5647563864472926,4.087797629016197e-06,-0.8242994147161172,6.099253605198769e-06,5.214723308428068
478,30967,444598,20007920,BATF,0.6946454574168799,6.512407037944648e-17,-0.5256512714923656,1.380826153910068e-16,15.859860995679233
25,1784,445051,20037103,BCL6/1,0.6309142085726397,0.019010591394531987,-0.6644842533587381,0.02382660788114676,1.6229377823854294
322,29341,444754,20009546,BCL6/2,0.4937400225857717,1.2778472651474938e-45,-1.0181765001512042,5.004901788494351e-45,44.30060444028925
1086,98187,443990,19940700,CCAAT/CEBP,0.4967559133057237,1.2699596944080722e-146,-1.0093909536910959,1.2349263235278496e-145,144.9083589519102
161,6118,444915,20032769,CENBP,1.1848962871086552,0.03754989617633783,0.24476078686855957,0.046039437920553344,1.3368699871597998
155,12237,444921,20026650,CPEB1,0.5701408269542924,2.8560312243062984e-14,-0.8106097804264915,5.632173463317316e-14,13.249323977977909
975,73287,444101,19965600,CREB/ATF/1,0.5981061752488762,2.5659214219840206e-67,-0.7415264818550158,1.4471796819989876e-66,65.8394775434794
611,48598,444465,19990289,CREB/ATF/2,0.5654631638180351,1.8980768056106205e-53,-0.8224950496430502,8.496153320352303e-53,52.07077765897657
482,39554,444594,19999333,CREB/ATF/3,0.5481615172172372,1.2435424142489617e-47,-0.8673270452143955,5.234014340570256e-47,46.28116509177982
638,37541,444438,20001346,CREB3/XBP1,0.7648264167724201,2.9277337661086213e-12,-0.3867957406476959,5.467688225447888e-12,11.262196257423144
5089,237823,439987,19801064,CTCF,0.9630022022579982,0.007976996222211683,-0.05438899756311393,0.010225058793925884,1.9903341861270587
138,11556,444938,20027331,CUX/1,0.5375206219007811,1.2950553000952414e-15,-0.8956079903372929,2.6273783786104898e-15,14.58047737833334
174,6002,444902,20032885,CUX/2,1.305366301583789,0.000890368361244776,0.3844547012971692,0.001201358267325487,2.92032745860895
22,1321,445054,20037566,CUX/3,0.7498115403611154,0.22221721639161035,-0.41540006454860035,0.24768875502938387,0.6060937097627438
52,4978,445024,20033909,CUX/4,0.4702520691242806,1.2076216809829264e-09,-1.0884938032201865,2.0892595953201547e-09,8.680007594576596
121,9860,444955,20029027,DDIT3+CEBPA,0.5523981507531256,9.908589702427117e-13,-0.8562196049506322,1.8879880378948967e-12,11.724000761676031
184,11739,444892,20027148,DMRT1,0.7055880733723425,9.141086220082469e-07,-0.5031019198082506,1.4086264011274625e-06,5.851204176119378
16,2647,445060,20036240,DMRT3,0.27212203051927597,1.0718701528824735e-10,-1.8776743355275836,1.937611430210625e-10,9.712733312236345
843,46825,444233,19992062,E2F/1,0.8102080640358511,4.620378349168741e-10,-0.30363565058550696,8.143416840409905e-10,9.089193334228836
5064,345182,440012,19693705,E2F/2,0.6566114681693763,1.51230794006368e-219,-0.6068881470986117,2.5086519946938695e-218,217.60055958072073
437,21160,444639,20017727,E2F/3,0.9297645491012396,0.1350581687884252,-0.10506267635557918,0.15295744417002372,0.8154293818156799
372,27284,444704,20011603,E2F/4,0.6135440400460433,4.599908325761923e-24,-0.7047611909736557,1.179249225331693e-23,22.92839440037739
